t=2026-01-27T14:41:31+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-27T14:41:31+0100 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2026-01-27T14:41:31+0100 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2026-01-27T14:41:31+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-27T14:41:31+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-27T14:41:31+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-27T14:41:31+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=9d3096a5b30c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=6a9d8c488b9c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=02b81d8f32fe l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=6ed2268ca967 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=d13f419a6b5c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=8d81bcbbf705 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=4a85b4d019b9 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=79b704241e55 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=7fa3d8af5cc9 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=518e64314460 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=1c76692e0a2b l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:32+0100 lvl=info msg="join connections" obj=join id=804c12fa9cff l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:33+0100 lvl=info msg="join connections" obj=join id=c65271e1f2c3 l=[::1]:3001 r=196.127.186.153:59450
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=a248632ae24f l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=38d24b89f3e0 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=0a4887287c7a l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=fb8a867fcf73 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=195abcf16300 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=bd70841bd459 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=3bbbb0952417 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=f3bbad129400 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=0c27d3282a92 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=2cc96eaa68db l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=d76685d4a3b7 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=f7f5a9d57d93 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=0581cb23943b l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=381043e71bea l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=7527648b7067 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=d00ec22ab5a8 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=331467534a96 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:39+0100 lvl=info msg="join connections" obj=join id=a567f6fbfcf1 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:40+0100 lvl=info msg="join connections" obj=join id=72d2755226c1 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:40+0100 lvl=info msg="join connections" obj=join id=87b7ecb44caa l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:40+0100 lvl=info msg="join connections" obj=join id=64a63a9a7cb7 l=[::1]:3001 r=196.127.186.153:59489
t=2026-01-27T14:43:45+0100 lvl=info msg="join connections" obj=join id=d29915bbc0bd l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:45+0100 lvl=info msg="join connections" obj=join id=b23d70c929e0 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:45+0100 lvl=info msg="join connections" obj=join id=6367d38f6376 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:45+0100 lvl=info msg="join connections" obj=join id=35f4ec125d2c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=abf7cb83290c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=08f400ab8c68 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=e975388c68df l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=b36e35b3a684 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=f04599c081bf l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=571392946e35 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=8a71f051b58b l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=567ebf31974b l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=ada87d5fa1f5 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=5b8064268e27 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=ab61f5cd3d40 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=a421d4eee23e l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=c4e7af8bf7bf l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=cbb1104dac9f l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=cf8ae1e6c520 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=3c109afd8755 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:50+0100 lvl=info msg="join connections" obj=join id=58f6759de3dc l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:43:51+0100 lvl=info msg="join connections" obj=join id=ec6ce1f0a476 l=[::1]:3001 r=196.127.186.153:59539
t=2026-01-27T14:44:17+0100 lvl=warn msg="failed to open private leg" id=e0ea9f4a17ba privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:17+0100 lvl=warn msg="failed to open private leg" id=9c757842645d privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:18+0100 lvl=warn msg="failed to open private leg" id=bed48cd47437 privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:19+0100 lvl=warn msg="failed to open private leg" id=928960b9b4b5 privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:19+0100 lvl=warn msg="failed to open private leg" id=a7476d7ad05e privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:20+0100 lvl=warn msg="failed to open private leg" id=aff5dee48615 privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:21+0100 lvl=warn msg="failed to open private leg" id=df5a7d1e16ae privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:21+0100 lvl=warn msg="failed to open private leg" id=f176ebdf44bd privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:23+0100 lvl=warn msg="failed to open private leg" id=fee7fcb264b5 privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
t=2026-01-27T14:44:25+0100 lvl=warn msg="failed to open private leg" id=fd805bc4797c privaddr=localhost:3001 err="dial tcp [::1]:3001: connect: connection refused"
